ProductID,ProductName,Category,Price,Quantity,StoreLocation,DateAdded
1,Potting Soil,Garden,15.99,32,California,2024-10-19
2,Cordless Electric Screwdriver,Tools,39.99,22,District of Columbia,2024-11-04
3,Almond Butter Granola Bars,Food - Snacks,4.99,16,Pennsylvania,2024-09-19
4,Herbal Tea Variety Pack,Food - Beverages,4.99,40,California,2024-10-27
5,Puffed Rice Cake,Food - Snacks,2.49,28,Minnesota,2024-09-10
6,LED Makeup Mirror,Beauty,39.99,3,California,2025-07-13
7,Chopping Board,Kitchen,29.99,68,Minnesota,2025-01-22
8,Buffalo Chicken Wraps,Food - Prepared Meals,5.99,24,California,2025-04-09
9,Bamboo Cotton Tank Top,Clothing - Tops,22.99,52,Michigan,2024-11-28
10,Cinnamon Sugar Tortilla Chips,Food - Snacks,3.29,13,Wisconsin,2025-04-14
11,Floral Wrap Top,Clothing - Tops,49.99,2,New York,2025-05-10
12,Garlic Parmesan Wings,Food - Frozen Foods,8.99,90,Illinois,2025-01-22
13,Chocolate Covered Pretzels,Food - Snacks,3.29,31,California,2025-02-13
14,Magnetic Curtain Tiebacks,Home,12.99,69,Ohio,2025-03-22
15,Tailored Dress Pants,Clothing - Bottoms,79.99,47,Texas,2025-04-11
16,Cold Brew Coffee Concentrate,Food - Beverages,7.99,21,Maryland,2025-04-19
17,Spinach Feta Wraps,Food - Deli,4.29,1,Massachusetts,2024-09-18
18,Car Vacuum Cleaner,Automotive,39.99,75,Missouri,2025-06-09
19,Portable Air Compressor,Automotive,44.99,70,California,2025-05-04
20,Woven Storage Baskets,Home,24.99,76,Ohio,2025-04-25
21,Weighted Jump Rope with Counter,Fitness,14.99,44,Minnesota,2025-07-11
22,Coconut Curry Chicken,Food - Frozen Foods,9.99,8,Mississippi,2024-12-29
23,Photo Album,Home,24.99,25,Virginia,2025-02-23
24,Sliced Turkey Breast,Food - Deli Meats,5.49,78,New York,2024-12-27
25,Fitness Resistance Bands Kit,Fitness,29.99,16,Kansas,2025-03-30
26,Coconut Milk Ice Cream,Food - Frozen Desserts,6.99,86,North Dakota,2025-04-30
27,Garlic Butter Sauce,Food - Condiments,3.59,23,New York,2025-01-17
28,Vanilla Ice Cream,Food - Frozen Foods,4.99,52,Florida,2024-09-14
29,Over-Ear Headphones,Audio,59.99,70,California,2025-02-04
30,Hibiscus Tea Bags,Food - Beverages,3.79,60,Michigan,2024-10-27
31,Desk Organizer Set,Office,29.99,10,Massachusetts,2025-06-20
32,LED Christmas Tree Lights,Home,34.99,35,California,2025-07-07
33,Basketball,Sports,29.99,21,Texas,2025-02-02
34,Adjustable Dog Harness,Pets,24.99,45,Oklahoma,2024-12-17
35,Elderberry Syrup,Food - Supplements,11.99,83,Texas,2025-06-07
36,Honey Mustard Dip,Food - Condiments,3.29,75,Michigan,2025-02-07
37,Almond Joy Protein Bars,Food - Snacks,1.99,49,Pennsylvania,2025-02-03
38,Frozen Chicken Nuggets,Food - Frozen Foods,4.49,44,Oklahoma,2024-10-12
39,Sliced Bread,Food - Bakery,2.99,55,California,2024-12-17
40,Almond Butter,Food - Condiments,6.49,36,Florida,2025-02-12
41,Marinara Sauce,Food - Condiments,3.49,1,New Jersey,2025-03-01
42,Digital Kitchen Timer,Kitchen,14.99,40,Louisiana,2025-01-06
43,Gluten-Free Brownies,Food - Baking,4.99,79,Iowa,2024-09-01
44,Set of Measuring Spoons,Kitchen,12.99,74,West Virginia,2025-08-09
45,Digital Wireless Camera,Home Security,199.99,87,Tennessee,2025-01-31
46,Memory Foam Pillow,Home,39.99,5,Texas,2024-09-05
47,Honey Garlic Shrimp,Food - Seafood,8.49,32,Alabama,2025-06-10
48,Wireless Gaming Mouse,Gaming,39.99,33,Florida,2025-03-05
49,Wireless Printer,Office,99.99,63,Ohio,2025-03-22
50,Herb-Infused Olive Oil,Food - Oils,8.99,16,New York,2025-06-10
51,Smart Water Bottle,Fitness,39.99,21,New Mexico,2025-07-15
52,Portable Solar Phone Charger,Electronics,29.99,23,California,2025-03-15
53,Jigsaw Puzzle,Toys,14.99,68,New Jersey,2025-01-04
54,Magnetic Spice Containers,Kitchen,24.99,93,Louisiana,2024-12-27
55,Puffer Winter Coat,Clothing - Outerwear,99.99,63,Florida,2025-01-03
56,Portable Bluetooth Keyboard,Electronics,39.99,62,Minnesota,2024-10-23
57,Pasta Primavera Kit,Food - Meal Kits,7.49,49,West Virginia,2024-12-22
58,Lemon Garlic Marinade,Food - Condiments,4.29,75,Florida,2025-02-05
59,Electric Toothbrush Holder,Health,14.99,78,California,2024-09-01
60,Gluten-Free Brownies,Food - Baking,4.99,24,Tennessee,2025-07-28
61,Chocolate Mint Protein Shake,Food - Beverages,3.99,75,Alaska,2024-12-13
62,Fresh Lemons,Food - Fresh Produce,0.75,32,Montana,2024-12-25
63,Decorative Throw Pillows,Home,29.99,84,Wisconsin,2025-04-11
64,Pet Hair Vacuum Attachment,Pets,14.99,59,California,2025-06-20
65,Pepperoni Pizza Rolls,Food - Snacks,6.99,97,District of Columbia,2025-07-11
66,Spaghetti Squash,Food - Produce,3.99,30,Washington,2025-05-12
67,Peach Mango Smoothie,Food - Beverages,3.49,47,Texas,2024-09-19
68,Elderberry Syrup Kit,Health,22.99,74,Arizona,2025-06-26
69,Portable Water Filter,Outdoor,29.99,61,District of Columbia,2024-12-29
70,Frozen Mixed Berries,Food - Frozen Foods,5.99,61,Iowa,2024-08-30
71,Mini Projector for Smartphones,Electronics,99.99,37,North Carolina,2024-12-06
72,Cordless Water Flosser,Health,49.99,77,Missouri,2024-10-09
73,Honey Almond Granola Bars,Food - Snacks,3.99,97,Tennessee,2024-08-24
74,Multi-Purpose Marine Rope,Outdoor,19.99,99,Missouri,2025-07-08
75,Creamy Coleslaw Mix,Food - Produce,2.39,14,New Mexico,2025-03-16
76,Classic Chicken Noodle Soup,Food - Canned Goods,3.49,79,California,2024-09-29
77,Herbed Mushroom Risotto,Food - Prepared Foods,5.49,74,Virginia,2024-12-23
78,Baked Falafel Balls,Food - Frozen Vegetables,5.99,73,Pennsylvania,2025-05-09
79,Wooden Puzzle Game,Toys,14.99,12,Tennessee,2025-05-09
80,Honey mustard chicken tenders,Food - Meat,7.99,84,Alabama,2025-05-12
81,Chocolate Fudge Ice Cream,Food - Frozen Desserts,5.99,75,Florida,2025-02-17
82,Coconut Flakes,Food - Baking,3.29,63,Maryland,2025-01-14
